id,text,label,severity
2246,"Public speaking se bahut darr lagta hai, can't breathe sometimes",anxiety,red
5184,"Life monotonous and sad, can't smile genuinely in class",sadness,amber
5365,"Lost motivation, nothing seems enjoyable anymore Kuch kuch hota hai… but sadness hi hota hai at office",sadness,green
1442,"Presentation tomorrow and I haven't prepared, panic mode 😰 at hostel",stress,amber
8431,"Workload bahut zyada, lagta hai kabhi khatam nahi hoga. at hostel",burnout,green
5873,"Weekend and nowhere to go, loneliness hits smh in lab",loneliness,amber
5236,"Life monotonous and sad, can't smile genuinely idk",sadness,green
6754,"Friends busy, lagta hai koi samajhta hi nahi. in Lucknow 😓 fr",loneliness,green
4003,"Dil toot gaya, kuch karne ka mann nahi. at office 🙂 So tired of life, thinking about ending it.",sadness,red
2964,"Public speaking se bahut darr lagta hai, can't breathe sometimes 😤",anxiety,green
3725,"Constant worrying about future, kya hoga? Kuch kuch hota hai… but sadness hi hota hai",anxiety,amber
8334,"Continuous assignments + part-time job, burnout central",burnout,green
252,"Midterms -> sleepless nights, headache and stress 😔",stress,amber
9104,"Furious hoon yaar, bas chill nahi kar pa raha.",anger,green
6227,"Sitting alone on bench, watching others laugh yeh toh nahi chalta 🙂",loneliness,green
3523,"Social situations make me freeze, nervous AF",anxiety,green
97,"Midterms -> sleepless nights, headache and stress 😭 in lab fr",stress,green
8529,Roz wahi padhai aur phir bhi kuch hasil nahi ho raha. in lab 😤 #lost,burnout,green
9835,"Aaj ka din theek tha, normal sa feel kar raha hoon. in lab",neutral,green
4694,"Lost motivation, nothing seems enjoyable anymore",sadness,amber
4820,"Feels like crying for no reason, empty inside",sadness,amber
2153,"Raat ko neend nahi aati, kal se darr lag raha hai. ugh 😔",anxiety,amber
3028,"Constant worrying about future, kya hoga? in Mumbai",anxiety,amber
3129,"Social situations make me freeze, nervous AF at office #examseason",anxiety,green
7365,"Workload bahut zyada, lagta hai kabhi khatam nahi hoga. idk what to do 🤯",burnout,green
108,"Ghar wale expect kar rahe hain kuch, pressure lagta hai Kuch kuch hota hai… but sadness hi hota hai 😭",stress,green
7382,"Continuous assignments + part-time job, burnout central at office fr",burnout,amber
2076,"Constant worrying about future, kya hoga?",anxiety,green
3459,"Social situations make me freeze, nervous AF 😔",anxiety,red
304,"Kal ki exam ki tayari nahi hui, tension ho raha hai yaar. brb at office #collegeLife",stress,green
9243,"Road rage yesterday, felt like shouting at everyone #examseason",anger,green
5983,"Sitting alone on bench, watching others laugh in Kota",loneliness,green
1489,"Kal ki exam ki tayari nahi hui, tension ho raha hai yaar. idk what to do in Kolkata 😓",stress,green
6482,"Friends busy, lagta hai koi samajhta hi nahi.",loneliness,green
3929,"Pal-pal sochta rehta hoon, panic aa jata hai kabhi kabhi. ugh 😔 in class",anxiety,red
170,"Ghar wale expect kar rahe hain kuch, pressure lagta hai ugh 😔",stress,green
3777,"Pal-pal sochta rehta hoon, panic aa jata hai kabhi kabhi.",anxiety,amber
1517,"Presentation tomorrow and I haven't prepared, panic mode 😰 kal lecture skip kiya, guilt tt at hostel #examseason",stress,green
5467,"Feels like crying for no reason, empty inside ugh 😔",sadness,red
577,"Boss ne last minute ka task de diya, time nahi hai. #examseason",stress,green
2834,"Raat ko neend nahi aati, kal se darr lag raha hai. 🙂",anxiety,green
1684,"Boss ne last minute ka task de diya, time nahi hai. 😔",stress,amber
4585,"Aaj bas rona aa raha hai, kuch accha nahi lag raha. at office",sadness,green
5359,"Dil toot gaya, kuch karne ka mann nahi. 🤝 seriously #struggle",sadness,green
5295,"Feels like crying for no reason, empty inside in class 🙂",sadness,green
6833,"Hostel mein sab busy hai, kisi se baat karne ka mann nahi karta. in class",loneliness,amber
6384,"Sitting alone on bench, watching others laugh 🤝 idk",loneliness,green
4249,"Feels like crying for no reason, empty inside yeh toh nahi chalta in lab",sadness,amber
2109,"Pal-pal sochta rehta hoon, panic aa jata hai kabhi kabhi. bahut zyada #lost",anxiety,green
9899,"Average day, nothing major happened yeh toh nahi chalta",neutral,green
1619,"Can't focus at all, sab kuch ulti tarah ho raha hai. 🙃",stress,green
7745,"Thak gaya hoon, motivation zero, subah uthna mushkil. rank zero, dignity zero :/ fr",burnout,green
7291,"Thak gaya hoon, motivation zero, subah uthna mushkil. fr",burnout,green
4442,"Lagta hai sab door ho gaye, bas udasi hi reh gai. in Jaipur #struggle",sadness,amber
1942,"Can't focus at all, sab kuch ulti tarah ho raha hai. LOL (not funny) 🤝 fr",stress,green
8842,"Road rage yesterday, felt like shouting at everyone Kuch kuch hota hai… but sadness hi hota hai",anger,green
9887,"Chill day, college gaya and aaya. 😭",neutral,green
5665,"Lost motivation, nothing seems enjoyable anymore rank zero, dignity zero :/ in lab #lost",sadness,green
5171,"Lost motivation, nothing seems enjoyable anymore",sadness,green
7676,"Thak gaya hoon, motivation zero, subah uthna mushkil.",burnout,green
501,"Can't focus at all, sab kuch ulti tarah ho raha hai. 😭 in lab seriously #examseason",stress,amber
5095,"Aaj bas rona aa raha hai, kuch accha nahi lag raha. 👌",sadness,green
2969,"Pal-pal sochta rehta hoon, panic aa jata hai kabhi kabhi. Kuch kuch hota hai… but sadness hi hota hai lol",anxiety,red
6736,"Sitting alone on bench, watching others laugh bahut zyada",loneliness,green
3509,"Heart tez dhadak raha hai, sab kuch overthinking lag raha hai. ugh 😔 in class",anxiety,amber
5617,"Lagta hai sab door ho gaye, bas udasi hi reh gai. smh",sadness,green
440,"Boss ne last minute ka task de diya, time nahi hai. lol",stress,amber
3814,"Heart tez dhadak raha hai, sab kuch overthinking lag raha hai. in lab 😓 idk",anxiety,amber
625,"Ghar wale expect kar rahe hain kuch, pressure lagta hai at office 🙃 fr",stress,green
1510,"Can't focus at all, sab kuch ulti tarah ho raha hai. idk what to do",stress,amber
933,"Assignment deadline par bahut pressure hai, dimag kharab. smh at office 🤯",stress,green
8774,"Anger outbursts are frequent, then guilt follows 😔",anger,green
8113,"I can't keep up with deadlines, energy drained in class",burnout,green
7182,"Sitting alone on bench, watching others laugh in class",loneliness,green
656,"Kal ki exam ki tayari nahi hui, tension ho raha hai yaar. 👌",stress,green
6572,"Sitting alone on bench, watching others laugh feeling kabhi kabhi low AF at hostel",loneliness,green
3051,"Pal-pal sochta rehta hoon, panic aa jata hai kabhi kabhi.",anxiety,green
519,"Kal ki exam ki tayari nahi hui, tension ho raha hai yaar. LOL (not funny) in class",stress,green
7734,Roz wahi padhai aur phir bhi kuch hasil nahi ho raha. Kuch kuch hota hai… but sadness hi hota hai,burnout,amber
347,"College ka workload insane hai, feel overloaded.",stress,green
8626,"Continuous assignments + part-time job, burnout central smh #struggle",burnout,amber
4376,"Lagta hai sab door ho gaye, bas udasi hi reh gai.",sadness,green
6356,"Friends busy, lagta hai koi samajhta hi nahi. in Patna",loneliness,green
316,"College ka workload insane hai, feel overloaded. idk",stress,green
8759,Gusse se sab tod dena chahta hoon kabhi kabhi. seriously,anger,green
674,"Can't focus at all, sab kuch ulti tarah ho raha hai. idk #collegeLife",stress,green
9331,"They betrayed me, can't forgive easily",anger,green
7499,I used to love coding but now it's just fatigue 🙂,burnout,green
9962,"Nothing special today, thoda busy tha. in Pune",neutral,green
484,"Assignment deadline par bahut pressure hai, dimag kharab. life sasta nasha lag raha hai 🙂",stress,green
4202,"Lost motivation, nothing seems enjoyable anymore bahut zyada in lab",sadness,green
1085,"Can't focus at all, sab kuch ulti tarah ho raha hai. at hostel 😤 lol",stress,green
10124,"Aaj ka din theek tha, normal sa feel kar raha hoon. fr",neutral,green
8698,Roz wahi padhai aur phir bhi kuch hasil nahi ho raha.,burnout,green
1607,"Presentation tomorrow and I haven't prepared, panic mode 😰 LOL (not funny) at hostel 🤯",stress,green
3315,"Constant worrying about future, kya hoga? 🙂 lol",anxiety,red
6391,"Weekend and nowhere to go, loneliness hits feeling kabhi kabhi low AF 🙃",loneliness,green
8928,"Woh person ne bahut bura kiya, ab control nahi hota.",anger,amber
5825,"Weekend and nowhere to go, loneliness hits dimag ka dahi ho gaya",loneliness,amber
6235,Family around but still feel lonely inside life sasta nasha lag raha hai 😤,loneliness,green
8242,Roz wahi padhai aur phir bhi kuch hasil nahi ho raha. ugh 😔,burnout,green
6838,"Weekend and nowhere to go, loneliness hits",loneliness,green
5642,"Aaj bas rona aa raha hai, kuch accha nahi lag raha.",sadness,amber
1670,"Midterms -> sleepless nights, headache and stress smh in Mumbai fr",stress,green
1311,"Group project ka kaam sab meray upar, too much stress",stress,green
7136,Feels like I'm invisible in my own circle in class #struggle,loneliness,green
5197,"Aaj bas rona aa raha hai, kuch accha nahi lag raha. idk what to do lol",sadness,amber
260,"Midterms -> sleepless nights, headache and stress brb in lab seriously",stress,green
5791,"Feels like I'm invisible in my own circle rank zero, dignity zero :/",loneliness,green
3622,"Raat ko neend nahi aati, kal se darr lag raha hai.",anxiety,red
8052,"I can't keep up with deadlines, energy drained",burnout,green
3996,"Presentation ke time hands shake karte hai, help at office seriously",anxiety,amber
4914,"Life monotonous and sad, can't smile genuinely brb",sadness,green
312,"College ka workload insane hai, feel overloaded.",stress,amber
4696,"Feels like crying for no reason, empty inside",sadness,amber
6792,"Weekend and nowhere to go, loneliness hits yeh toh nahi chalta at hostel 😭 seriously",loneliness,green
8615,"Thak gaya hoon, motivation zero, subah uthna mushkil.",burnout,green
5139,"Feels like crying for no reason, empty inside sakht thak gaya yaar 😔 lol #collegeLife",sadness,green
32,"Can't focus at all, sab kuch ulti tarah ho raha hai. idk what to do #struggle",stress,amber
36,"College ka workload insane hai, feel overloaded. yeh toh nahi chalta at hostel idk #lost",stress,green
4861,"Feels like crying for no reason, empty inside lol #lost",sadness,amber
9266,"Anger outbursts are frequent, then guilt follows ugh 😔 at office 😓 fr",anger,amber
4008,"Dil toot gaya, kuch karne ka mann nahi. yeh toh nahi chalta",sadness,red
7033,"Weekend and nowhere to go, loneliness hits idk what to do at hostel 🙃",loneliness,amber
8797,"They betrayed me, can't forgive easily",anger,green
6132,Feels like I'm invisible in my own circle at office,loneliness,green
3266,"Constant worrying about future, kya hoga?",anxiety,amber
4901,"Life monotonous and sad, can't smile genuinely",sadness,red
8417,I used to love coding but now it's just fatigue,burnout,green
8684,I used to love coding but now it's just fatigue Kuch kuch hota hai… but sadness hi hota hai in lab,burnout,amber
9116,"Furious hoon yaar, bas chill nahi kar pa raha. seriously #examseason",anger,green
2274,"Social situations make me freeze, nervous AF kal lecture skip kiya, guilt tt in class",anxiety,red
2073,"Raat ko neend nahi aati, kal se darr lag raha hai. rank zero, dignity zero :/ at hostel",anxiety,green
7793,"Workload bahut zyada, lagta hai kabhi khatam nahi hoga.",burnout,green
7062,"Friends busy, lagta hai koi samajhta hi nahi. feeling kabhi kabhi low AF",loneliness,green
7083,"Hostel mein sab busy hai, kisi se baat karne ka mann nahi karta. yaar help!!",loneliness,green
296,"Ghar wale expect kar rahe hain kuch, pressure lagta hai yeh toh nahi chalta at office seriously",stress,green
2185,"Social situations make me freeze, nervous AF 🤝",anxiety,green
6536,"Friends busy, lagta hai koi samajhta hi nahi. sakht thak gaya yaar 😭",loneliness,green
81,"Presentation tomorrow and I haven't prepared, panic mode 😰 life sasta nasha lag raha hai",stress,green
5370,"Feels like crying for no reason, empty inside in Patna 😤",sadness,green
1792,"Can't focus at all, sab kuch ulti tarah ho raha hai. 🙃",stress,amber
3316,"Public speaking se bahut darr lagta hai, can't breathe sometimes sakht thak gaya yaar at office 🙃 lol",anxiety,green
10030,"Average day, nothing major happened lagta hai fail ho jaunga 😭 fr",neutral,green
2128,"Pal-pal sochta rehta hoon, panic aa jata hai kabhi kabhi. lagta hai fail ho jaunga",anxiety,green
7473,Roz wahi padhai aur phir bhi kuch hasil nahi ho raha. smh #struggle,burnout,green
3152,"Meeting se pehle stomach ghabra jaata hai, anxiety attack",anxiety,green
3911,"Heart tez dhadak raha hai, sab kuch overthinking lag raha hai. LOL (not funny) 😔",anxiety,green
1759,"Boss ne last minute ka task de diya, time nahi hai.",stress,amber
120,"Can't focus at all, sab kuch ulti tarah ho raha hai. #collegeLife",stress,green
9503,"They betrayed me, can't forgive easily life sasta nasha lag raha hai",anger,green
4581,"Life monotonous and sad, can't smile genuinely dimag ka dahi ho gaya",sadness,amber
1685,"Boss ne last minute ka task de diya, time nahi hai. 🙂",stress,green
3371,"Public speaking se bahut darr lagta hai, can't breathe sometimes 🙃",anxiety,amber
6902,"Sitting alone on bench, watching others laugh 👌",loneliness,green
1278,"Ghar wale expect kar rahe hain kuch, pressure lagta hai idk",stress,green
6953,"No one to talk to, feel so alone. dimag ka dahi ho gaya",loneliness,green
5609,"Lost motivation, nothing seems enjoyable anymore idk",sadness,green
3541,"Raat ko neend nahi aati, kal se darr lag raha hai. dimag ka dahi ho gaya in class 🤝",anxiety,green
4688,"Dil toot gaya, kuch karne ka mann nahi. LOL (not funny) at hostel 🙃",sadness,amber
5847,"Weekend and nowhere to go, loneliness hits 🙂 lol",loneliness,green
9531,"Road rage yesterday, felt like shouting at everyone at hostel 🤝",anger,green
8623,I used to love coding but now it's just fatigue in class #lost,burnout,green
4956,"Life monotonous and sad, can't smile genuinely idk",sadness,amber
6406,Feels like I'm invisible in my own circle sakht thak gaya yaar lol,loneliness,green
8058,"Workload bahut zyada, lagta hai kabhi khatam nahi hoga. sakht thak gaya yaar at office",burnout,green
3750,"Raat ko neend nahi aati, kal se darr lag raha hai. Kuch kuch hota hai… but sadness hi hota hai in lab #lost",anxiety,amber
7714,I used to love coding but now it's just fatigue 😓,burnout,green
3740,"Constant worrying about future, kya hoga?",anxiety,amber
3353,"Pal-pal sochta rehta hoon, panic aa jata hai kabhi kabhi. 🤝",anxiety,green
2961,"Public speaking se bahut darr lagta hai, can't breathe sometimes idk #collegeLife",anxiety,green
3150,"Raat ko neend nahi aati, kal se darr lag raha hai.",anxiety,green
7827,I used to love coding but now it's just fatigue dimag ka dahi ho gaya,burnout,green
305,"Midterms -> sleepless nights, headache and stress in lab",stress,green
5799,Feels like I'm invisible in my own circle idk what to do 😭,loneliness,green
322,"Ghar wale expect kar rahe hain kuch, pressure lagta hai 🤯",stress,green
1955,"Assignment deadline par bahut pressure hai, dimag kharab.",stress,green
3571,"Meeting se pehle stomach ghabra jaata hai, anxiety attack rank zero, dignity zero :/ in lab",anxiety,amber
2465,"Social situations make me freeze, nervous AF ugh 😔",anxiety,green
7497,I used to love coding but now it's just fatigue life sasta nasha lag raha hai,burnout,green
10103,"Average day, nothing major happened",neutral,green
10179,"Aaj ka din theek tha, normal sa feel kar raha hoon.",neutral,green
8738,"They betrayed me, can't forgive easily yaar help!!",anger,green
622,"Boss ne last minute ka task de diya, time nahi hai. lagta hai fail ho jaunga",stress,green
4478,"Dil toot gaya, kuch karne ka mann nahi. brb 😔",sadness,amber
6308,"Hostel mein sab busy hai, kisi se baat karne ka mann nahi karta. idk what to do",loneliness,green
9909,"Chill day, college gaya and aaya. dimag ka dahi ho gaya 😤",neutral,green
9322,"They betrayed me, can't forgive easily brb",anger,amber
9813,"Nothing special today, thoda busy tha.",neutral,green
7334,I used to love coding but now it's just fatigue 🤯,burnout,green
9694,"Gusse se sab tod dena chahta hoon kabhi kabhi. kal lecture skip kiya, guilt tt in lab #struggle",anger,amber
1887,"Ghar wale expect kar rahe hain kuch, pressure lagta hai at office 🙂 fr",stress,amber
3182,"Public speaking se bahut darr lagta hai, can't breathe sometimes seriously",anxiety,amber
9776,"Aaj ka din theek tha, normal sa feel kar raha hoon. dimag ka dahi ho gaya",neutral,green
1741,"Group project ka kaam sab meray upar, too much stress lagta hai fail ho jaunga at hostel 🙂",stress,green
4682,Breakup ke baad sab meaningless lag raha hai sakht thak gaya yaar #lost,sadness,amber
8635,"I can't keep up with deadlines, energy drained bahut zyada",burnout,green
3838,"Heart tez dhadak raha hai, sab kuch overthinking lag raha hai. lagta hai fail ho jaunga",anxiety,red
3906,"Pal-pal sochta rehta hoon, panic aa jata hai kabhi kabhi. rank zero, dignity zero :/ 😭",anxiety,green
2860,"Raat ko neend nahi aati, kal se darr lag raha hai. 😤",anxiety,green
1112,"Ghar wale expect kar rahe hain kuch, pressure lagta hai Kuch kuch hota hai… but sadness hi hota hai in class",stress,green
3430,"Social situations make me freeze, nervous AF 👌",anxiety,amber
8450,"Continuous assignments + part-time job, burnout central life sasta nasha lag raha hai idk",burnout,amber
10126,"Today okay, did some chores and relaxed yaar help!! 😭 seriously",neutral,green
4976,Breakup ke baad sab meaningless lag raha hai,sadness,green
2685,"Meeting se pehle stomach ghabra jaata hai, anxiety attack in Jaipur seriously",anxiety,green
9705,"Today okay, did some chores and relaxed rank zero, dignity zero :/ in class",neutral,green
10170,"Chill day, college gaya and aaya. at hostel",neutral,green
374,"Can't focus at all, sab kuch ulti tarah ho raha hai.",stress,green
9360,"Furious hoon yaar, bas chill nahi kar pa raha.",anger,green
4608,"Lagta hai sab door ho gaye, bas udasi hi reh gai. 🙃",sadness,green
7525,"Workload bahut zyada, lagta hai kabhi khatam nahi hoga. kal lecture skip kiya, guilt tt",burnout,green
8881,Gusse se sab tod dena chahta hoon kabhi kabhi.,anger,green
9262,"Woh person ne bahut bura kiya, ab control nahi hota.",anger,green
7539,"Thak gaya hoon, motivation zero, subah uthna mushkil. at office",burnout,amber
3680,"Heart tez dhadak raha hai, sab kuch overthinking lag raha hai. at hostel",anxiety,green
2523,"Presentation ke time hands shake karte hai, help feeling kabhi kabhi low AF #struggle",anxiety,amber
8571,"Workload bahut zyada, lagta hai kabhi khatam nahi hoga. in class 😔 idk",burnout,green
4050,"Feels like crying for no reason, empty inside lol",sadness,amber
6265,"No one to talk to, feel so alone. Kuch kuch hota hai… but sadness hi hota hai at office",loneliness,green
1513,"Can't focus at all, sab kuch ulti tarah ho raha hai. 😓",stress,green
1878,"Group project ka kaam sab meray upar, too much stress",stress,amber
9299,"Woh person ne bahut bura kiya, ab control nahi hota. LOL (not funny) fr",anger,green
5973,Feels like I'm invisible in my own circle smh,loneliness,green
7204,Roz wahi padhai aur phir bhi kuch hasil nahi ho raha. sakht thak gaya yaar in lab seriously,burnout,green
4824,"Aaj bas rona aa raha hai, kuch accha nahi lag raha. yaar help!!",sadness,amber
8607,I used to love coding but now it's just fatigue,burnout,red
6394,Family around but still feel lonely inside lol,loneliness,green
9947,"Nothing special today, thoda busy tha. seriously",neutral,green
3882,"Social situations make me freeze, nervous AF rank zero, dignity zero :/ in lab",anxiety,amber
7862,"Continuous assignments + part-time job, burnout central",burnout,amber
3066,"Raat ko neend nahi aati, kal se darr lag raha hai. at office 😓",anxiety,green
2508,"Heart tez dhadak raha hai, sab kuch overthinking lag raha hai. idk",anxiety,amber
8887,"Anger outbursts are frequent, then guilt follows smh #struggle",anger,amber
7301,"Thak gaya hoon, motivation zero, subah uthna mushkil. yeh toh nahi chalta at office",burnout,green
1795,"Can't focus at all, sab kuch ulti tarah ho raha hai. smh in class",stress,green
714,"Boss ne last minute ka task de diya, time nahi hai. in Delhi",stress,green
5115,"Lost motivation, nothing seems enjoyable anymore at office 🙂",sadness,amber
9078,"Gusse se sab tod dena chahta hoon kabhi kabhi. rank zero, dignity zero :/ in lab #examseason",anger,green
9406,"They betrayed me, can't forgive easily 😭",anger,green
6875,"Weekend and nowhere to go, loneliness hits",loneliness,green
3694,"Public speaking se bahut darr lagta hai, can't breathe sometimes at hostel",anxiety,amber
3013,"Pal-pal sochta rehta hoon, panic aa jata hai kabhi kabhi. rank zero, dignity zero :/ seriously",anxiety,amber
6386,Family around but still feel lonely inside 😭,loneliness,green
8193,I used to love coding but now it's just fatigue,burnout,amber
5479,"Aaj bas rona aa raha hai, kuch accha nahi lag raha. at office",sadness,green
4723,"Lost motivation, nothing seems enjoyable anymore",sadness,green
6839,"Weekend and nowhere to go, loneliness hits life sasta nasha lag raha hai 😔",loneliness,green
5602,"Lost motivation, nothing seems enjoyable anymore ugh 😔 at office",sadness,red
7509,"I can't keep up with deadlines, energy drained yeh toh nahi chalta in Pune seriously",burnout,green
3211,"Constant worrying about future, kya hoga? dimag ka dahi ho gaya",anxiety,red
2772,"Social situations make me freeze, nervous AF in lab",anxiety,green
7338,"Workload bahut zyada, lagta hai kabhi khatam nahi hoga. 👌",burnout,green
1122,"Ghar wale expect kar rahe hain kuch, pressure lagta hai 😓",stress,green
1576,"Presentation tomorrow and I haven't prepared, panic mode 😰 😭",stress,green
1146,"Presentation tomorrow and I haven't prepared, panic mode 😰 Kuch kuch hota hai… but sadness hi hota hai",stress,green
4314,"Lost motivation, nothing seems enjoyable anymore rank zero, dignity zero :/ #struggle",sadness,green
6995,"No one to talk to, feel so alone. feeling kabhi kabhi low AF in lab lol",loneliness,amber
4111,"Feels like crying for no reason, empty inside Kuch kuch hota hai… but sadness hi hota hai fr",sadness,amber
8070,"Thak gaya hoon, motivation zero, subah uthna mushkil. ugh 😔 at hostel 🤝",burnout,green
9371,"Woh person ne bahut bura kiya, ab control nahi hota. ugh 😔",anger,amber
5822,"Feels like I'm invisible in my own circle kal lecture skip kiya, guilt tt in lab #struggle",loneliness,green
9336,"Road rage yesterday, felt like shouting at everyone",anger,green
4354,"Feels like crying for no reason, empty inside smh in lab",sadness,red
5941,"Sitting alone on bench, watching others laugh in class",loneliness,green
795,"Kal ki exam ki tayari nahi hui, tension ho raha hai yaar.",stress,amber
6261,"Friends busy, lagta hai koi samajhta hi nahi.",loneliness,green
6163,"No one to talk to, feel so alone. dimag ka dahi ho gaya in Delhi 😓",loneliness,green
336,"Assignment deadline par bahut pressure hai, dimag kharab. 🤝",stress,amber
1072,"Boss ne last minute ka task de diya, time nahi hai. 😔",stress,green
1954,"Can't focus at all, sab kuch ulti tarah ho raha hai.",stress,green
3444,"Heart tez dhadak raha hai, sab kuch overthinking lag raha hai.",anxiety,red
9549,"Furious hoon yaar, bas chill nahi kar pa raha. 😔 idk",anger,green
4721,"Aaj bas rona aa raha hai, kuch accha nahi lag raha. lagta hai fail ho jaunga seriously #collegeLife",sadness,green
4242,Breakup ke baad sab meaningless lag raha hai 👌 at hostel fr,sadness,green
4630,"Life monotonous and sad, can't smile genuinely in lab 😓 idk",sadness,amber
9603,"Road rage yesterday, felt like shouting at everyone LOL (not funny) 😔",anger,green
4092,"Lagta hai sab door ho gaye, bas udasi hi reh gai. brb",sadness,green
2621,"Heart tez dhadak raha hai, sab kuch overthinking lag raha hai. lol",anxiety,green
1781,"Assignment deadline par bahut pressure hai, dimag kharab. #collegeLife",stress,green
10161,"Aaj ka din theek tha, normal sa feel kar raha hoon. 👌 at hostel",neutral,green
9036,"Furious hoon yaar, bas chill nahi kar pa raha. yeh toh nahi chalta 😔",anger,green
107,"Midterms -> sleepless nights, headache and stress at hostel lol",stress,green
8001,"Continuous assignments + part-time job, burnout central 😭 fr",burnout,green
8388,"I can't keep up with deadlines, energy drained kal lecture skip kiya, guilt tt",burnout,green
2013,"Social situations make me freeze, nervous AF",anxiety,green
451,"Boss ne last minute ka task de diya, time nahi hai.",stress,green
7224,Roz wahi padhai aur phir bhi kuch hasil nahi ho raha. 🙃,burnout,green
3667,"Social situations make me freeze, nervous AF in lab 😭",anxiety,green
2914,"Presentation ke time hands shake karte hai, help at office",anxiety,green
8157,Roz wahi padhai aur phir bhi kuch hasil nahi ho raha. lagta hai fail ho jaunga,burnout,green
2475,"Public speaking se bahut darr lagta hai, can't breathe sometimes idk what to do idk",anxiety,red
5096,"Dil toot gaya, kuch karne ka mann nahi. yeh toh nahi chalta",sadness,green
2424,"Raat ko neend nahi aati, kal se darr lag raha hai. yeh toh nahi chalta",anxiety,green
3488,"Heart tez dhadak raha hai, sab kuch overthinking lag raha hai. brb at hostel fr #collegeLife",anxiety,green
2565,"Heart tez dhadak raha hai, sab kuch overthinking lag raha hai. in class 🤯",anxiety,red
3161,"Pal-pal sochta rehta hoon, panic aa jata hai kabhi kabhi. dimag ka dahi ho gaya",anxiety,red
